Time_s,Voltage_mV
0.284,-0.577519
0.285,-0.588225
0.286,-0.602175
0.287,-0.615477
0.288,-0.620668
0.289,-0.621317
0.29,-0.632672
0.291,-0.637538
0.292,-0.646298
0.293,-0.651489
0.294,-0.644351
0.295,-0.638511
0.296,-0.638187
0.297,-0.651489
0.298,-0.665439
0.299,-0.679389
0.3,-0.701126
0.301,-0.722214
0.302,-0.715401
0.303,-0.700153
0.304,-0.691718
0.305,-0.701451
0.306,-0.715725
0.307,-0.725458
0.308,-0.734542
0.309,-0.756604
0.31,-0.77542
0.311,-0.784504
0.312,-0.797482
0.313,-0.813054
0.314,-0.825383
0.315,-0.856528
0.316,-0.888646
0.317,-0.913303
0.318,-0.934715
0.319,-0.950288
0.32,-0.960345
0.321,-0.973647
0.322,-0.983379
0.323,-0.981757
0.324,-0.965536
0.325,-0.925956
0.326,-0.882806
0.327,-0.831222
0.328,-0.770878
0.329,-0.708912
0.33,-0.646298
0.331,-0.592442
0.332,-0.541831
0.333,-0.49122
0.334,-0.4458
0.335,-0.412709
0.336,-0.386105
0.337,-0.362746
0.338,-0.340361
0.339,-0.325437
0.34,-0.313109
0.341,-0.304998
0.342,-0.293967
0.343,-0.288128
0.344,-0.296238
0.345,-0.308567
0.346,-0.311487
0.347,-0.307593
0.348,-0.304025
0.349,-0.308242
0.35,-0.306296
0.351,-0.30954
0.352,-0.316677
0.353,-0.322842
0.354,-0.325113
0.355,-0.327384
0.356,-0.324464
0.357,-0.315055
0.358,-0.298509
0.359,-0.288452
0.36,-0.287154
0.361,-0.285208
0.362,-0.280017
0.363,-0.271582
0.364,-0.256982
0.365,-0.249845
0.366,-0.261849
0.367,-0.274826
0.368,-0.27288
0.369,-0.2612
0.37,-0.245952
0.371,-0.232001
0.372,-0.223242
0.373,-0.226486
0.374,-0.227784
0.375,-0.22973
0.376,-0.232001
0.377,-0.225837
0.378,-0.221944
0.379,-0.230379
0.38,-0.230704
0.381,-0.222593
0.382,-0.218375
0.383,-0.227459
0.384,-0.231353
0.385,-0.222593
0.386,-0.215131
0.387,-0.219998
0.388,-0.227784
0.389,-0.231028
0.39,-0.232001
0.391,-0.21578
0.392,-0.197936
0.393,-0.212211
0.394,-0.218051
0.395,-0.216429
0.396,-0.21578
0.397,-0.216104
0.398,-0.209616
0.399,-0.203127
0.4,-0.214807
0.401,-0.224864
0.402,-0.23557
0.403,-0.24725
0.404,-0.250818
0.405,-0.255036
0.406,-0.253738
0.407,-0.248547
0.408,-0.248872
0.409,-0.253414
